path,features,coupling_frobenius,coupling_max_abs,retained_J0,purity_J0,effective_rank_J0,mass_gap_J0,Q_J0,current_J0,roc_auc_J0,average_precision_J0,retained_J_partial,purity_J_partial,effective_rank_J_partial,mass_gap_J_partial,Q_J_partial,current_J_partial,roc_auc_J_partial,average_precision_J_partial
0,V1|V24|V6|V8,0.13795448739062793,0.086988285136262,1,0.9270980279774992,1.0786345886006676,3.7813243672257246,0.0,0.0,0.7452166572875634,0.03229631563472175,1,0.9273308497461159,1.0783637795224643,3.781744448637004,0.12370504812925862,0.01770470875385946,0.7448550713194675,0.03209323640612977
1,V1|V24|V4|V6,0.1412324826897476,0.08732994204504,1,0.9008235462196807,1.1100953168869916,3.779609199782275,0.0,0.0,0.8658237915312439,0.09607262394612875,1,0.9011478464340947,1.1096958217867026,3.7802161658436813,0.1097772236066665,0.0267202770807988,0.8657313762590011,0.09640048500108594
2,V24|V25|V4|V6,0.0472493484882514,0.02486112889045593,1,0.8809256641542657,1.1351695616224915,3.7800076556079465,0.0,0.0,0.8461849181146854,0.0721308527505464,1,0.8809889053839977,1.1350880741955869,3.7808632783084537,0.004561679824160956,0.012008153388830609,0.8461883276101663,0.07195018361712276
3,V25|V26|V4|V6,0.04719008569267667,0.024565689931341103,1,0.8707920682769954,1.1483797756434135,3.5443662784258554,1.2012849389305935e-15,0.0,0.8546824575356311,0.053410011569880664,1,0.8708519947484633,1.1483007514828507,3.544854001530521,0.002036475097474206,0.007893031082608288,0.8546745618618861,0.053392194539830955
4,V25|V26|V4|V5,0.09611145009625462,0.06440002291780328,1,0.875614479741631,1.1420551203025693,3.5445423189327423,5.605996381676105e-16,0.0,0.859286353117499,0.05808893639454447,1,0.8758498404599591,1.1417482241874275,3.544877204562273,0.003380258877092133,0.008016599758290556,0.859095062476313,0.05776646386213539
5,V17|V25|V26|V5,0.11730278730885892,0.0801649984267565,1,0.8670319277875731,1.1533600643193438,3.5463267079281944,1.1211992763352207e-15,0.0,0.9312256310796687,0.06748616884664067,1,0.8675311590569502,1.1526963493588518,3.5466364404017385,0.007941363098495587,0.030289346504687172,0.9310962496985289,0.06732197095841723
6,Amount|V17|V26|V5,0.30356250697007015,0.19938289729377073,15,0.8889980983658101,1.1248617987352705,3.543921934455366,0.0,0.0,0.8830002914221402,0.02372738314755234,15,0.8900337784867592,1.1235528630162845,3.5441857746982284,0.007407184379126029,0.030837352936521196,0.8922892824124584,0.024097748712010685
7,Amount|V17|V2|V5,0.8594761975443423,0.43360216148847974,15,0.9375491471960934,1.0666107510104157,3.7138331905378754,0.0,0.0,0.8803077769515235,0.041519741283898626,15,0.9427344113551259,1.0607441374316209,3.715699010111128,0.13061658957585037,0.2172140368979993,0.8972197717719614,0.04137334373981515
8,Amount|V17|V19|V2,0.572231417334119,0.3788908162483577,1,0.8894026623115137,1.1243501311330115,3.508959804143126,0.0,0.0,0.9512626976789591,0.05222516713595377,1,0.8925158328437242,1.1204283030070301,3.5185687422645895,0.08147127444912909,0.17782927328704617,0.951034799823137,0.054490193262236676
9,Amount|V14|V19|V2,0.5681751022734891,0.3788457248551325,1,0.8998393613490864,1.111309465837044,3.5098050831504137,4.805139755722376e-16,0.0,0.9670136695646181,0.1105001232092705,1,0.902663321590732,1.1078327612090573,3.519067014427939,0.08358195911034853,0.18868433974729418,0.967181811525961,0.11979299202788177
