method,roc_auc,average_precision,target_fpr,calibration_threshold,observed_test_fpr,recall,precision,f1,n_flagged
qeda_j0_median,0.9612352925131786,0.2744069866828899,0.001,0.5251131057739258,0.0007561902082160945,0.2653061224489796,0.37681159420289856,0.31137724550898205,69
qeda_j0_median,0.9612352925131786,0.2744069866828899,0.005,0.2360255867242813,0.005099887450759707,0.7040816326530612,0.19220055710306408,0.3019693654266959,359
qeda_j0_median,0.9612352925131786,0.2744069866828899,0.01,0.16811464726924896,0.009971159257175014,0.8163265306122449,0.12364760432766615,0.21476510067114093,647
qeda_j_median,0.960492201945494,0.2772869631308901,0.001,0.5120922923088074,0.0007737760270118177,0.2653061224489796,0.37142857142857144,0.30952380952380953,70
qeda_j_median,0.960492201945494,0.2772869631308901,0.005,0.23336458206176758,0.005117473269555431,0.7244897959183674,0.19613259668508287,0.30869565217391304,362
qeda_j_median,0.960492201945494,0.2772869631308901,0.01,0.1653045415878296,0.010129431626336522,0.8163265306122449,0.12195121951219512,0.21220159151193635,656
qeda_j0_q90,0.9513608552593801,0.19338421286764088,0.001,0.8718460202217102,0.0007737760270118177,0.23469387755102042,0.34328358208955223,0.2787878787878788,67
qeda_j0_q90,0.9513608552593801,0.19338421286764088,0.005,0.6872372627258301,0.005117473269555431,0.6530612244897959,0.18028169014084508,0.282560706401766,355
qeda_j0_q90,0.9513608552593801,0.19338421286764088,0.01,0.5585959553718567,0.011079065841305571,0.8163265306122449,0.11267605633802817,0.19801980198019803,710
qeda_j_q90,0.9512113757996163,0.18574523778020577,0.001,0.8630983829498291,0.0009320483961733258,0.22448979591836735,0.29333333333333333,0.2543352601156069,75
qeda_j_q90,0.9512113757996163,0.18574523778020577,0.005,0.6805689930915833,0.005205402363534046,0.6020408163265306,0.16619718309859155,0.26048565121412803,355
qeda_j_q90,0.9512113757996163,0.18574523778020577,0.01,0.5486988425254822,0.011149409116488464,0.826530612244898,0.11328671328671329,0.1992619926199262,715
isolation_forest,0.9514421448095276,0.12776938038425684,0.001,0.1857233071520696,0.0005275745638716939,0.11224489795918367,0.2682926829268293,0.15827338129496404,41
isolation_forest,0.9514421448095276,0.12776938038425684,0.005,0.11026719038983836,0.005029544175576815,0.42857142857142855,0.12804878048780488,0.1971830985915493,328
isolation_forest,0.9514421448095276,0.12776938038425684,0.01,0.08261475453642898,0.010129431626336522,0.5510204081632653,0.08571428571428572,0.14835164835164835,630
