row_zero_based,row_one_based,species,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,paper_error_union,paper_error_models,paper_cv_tests,logistic_error_rate,lda_error_rate,rbf_svm_error_rate,knn_9_error_rate,random_forest_error_rate,qda_error_rate,isolation_score,isolation_rank,lof_score,lof_rank,mcd_distance,mcd_p_value,iqr_feature_flags,other_class_fraction_15nn
0,1,setosa,5.1,3.5,1.4,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.40893630136800163,144,0.9823713202076647,119,0.6863781217183527,0.952998091264355,0,0.0
1,2,setosa,4.9,3.0,1.4,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4265760162261874,119,1.1038043487882316,46,2.730712967607565,0.6038510362987882,0,0.0
2,3,setosa,4.7,3.2,1.3,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4337753840754027,109,0.9992922437372668,98,1.4417935579484225,0.8368995389067622,0,0.0
3,4,setosa,4.6,3.1,1.5,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.44297189862266395,95,1.0696847741611804,59,2.133812223365221,0.7111632605440613,0,0.0
4,5,setosa,5.0,3.6,1.4,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4188960769939393,129,1.0062902368796274,92,1.376377870123804,0.8482900879871351,0,0.0
5,6,setosa,5.4,3.9,1.7,0.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5095036488503089,34,1.2671428369769795,15,6.866192175037826,0.14313058888115487,0,0.0
6,7,setosa,4.6,3.4,1.4,0.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4644540440669104,66,0.9615217939684684,139,4.3029531788222615,0.36655544457224115,0,0.0
7,8,setosa,5.0,3.4,1.5,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3996224371349922,150,0.9602963424707316,141,0.3629181685747946,0.9853987498424639,0,0.0
8,9,setosa,4.4,2.9,1.4,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5133676581158817,31,1.235596559126129,21,3.431564273697486,0.48836014411614315,0,0.0
9,10,setosa,4.9,3.1,1.5,0.1,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.471910699836097,59,1.0423912715786332,74,3.5159702177827645,0.4754541964448813,0,0.0
10,11,setosa,5.4,3.7,1.5,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.44928466839525166,85,1.0520248902467269,64,2.3650799106882974,0.6689468696072951,0,0.0
11,12,setosa,4.8,3.4,1.6,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4234595307987341,125,0.953502924159325,146,3.3155759515035963,0.5064681767491901,0,0.0
12,13,setosa,4.8,3.0,1.4,0.1,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4847754626417892,48,1.1175018697687964,40,3.3325094198920944,0.503797965873936,0,0.0
13,14,setosa,4.3,3.0,1.1,0.1,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6079230307431334,6,1.2027623195786004,25,8.41024464378968,0.07765501713849644,1,0.0
14,15,setosa,5.8,4.0,1.2,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5780387091114342,9,1.4951641749566467,7,16.54201491374212,0.0023717779767752543,0,0.0
15,16,setosa,5.7,4.4,1.5,0.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6149468843730885,4,2.0685674408086925,1,11.428167378816969,0.022150918279912776,1,0.0
16,17,setosa,5.4,3.9,1.3,0.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5148892206430717,27,1.2615328462868285,16,8.616963283199928,0.0714201104424488,0,0.0
17,18,setosa,5.1,3.5,1.4,0.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.42759858146737706,118,0.984286529076396,115,1.1685183356664501,0.8832541698106346,0,0.0
18,19,setosa,5.7,3.8,1.7,0.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5380505703907887,18,1.2591662476225103,17,5.6320479942446,0.22836388052798542,0,0.0
19,20,setosa,5.1,3.8,1.5,0.3,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4483235007747187,88,1.1031036623659756,47,2.914174250503925,0.5722893422928189,0,0.0
20,21,setosa,5.4,3.4,1.7,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.47481714212017595,55,0.9898999919814317,109,5.664010697647017,0.22568454059261292,0,0.0
21,22,setosa,5.1,3.7,1.5,0.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4592868508500848,70,1.0433835892706909,71,4.92498540218332,0.2950814268325858,0,0.0
22,23,setosa,4.6,3.6,1.0,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5432394530138432,17,1.072271718522923,56,15.192748004448456,0.004317695295391884,1,0.0
23,24,setosa,5.1,3.3,1.7,0.5,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5079975152831648,35,0.9532119214930391,147,15.91080953529782,0.0031412089633954354,1,0.0
24,25,setosa,4.8,3.4,1.9,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4879297157867102,46,0.9282274829245283,150,17.189702927579436,0.0017755859194942152,1,0.0
25,26,setosa,5.0,3.0,1.6,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4450752746493306,92,1.100133238562434,49,4.659791203217774,0.3240185055336729,0,0.0
26,27,setosa,5.0,3.4,1.6,0.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4507009090459971,82,0.9552948061069275,144,5.951514935974559,0.20279854536431333,0,0.0
27,28,setosa,5.2,3.5,1.5,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.41148443772231,139,0.9824567303840206,118,0.8355907077353416,0.9336139495579907,0,0.0
28,29,setosa,5.2,3.4,1.4,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.42023696285510526,127,0.9733454678251141,130,1.5462016418284983,0.8184271169004457,0,0.0
29,30,setosa,4.7,3.2,1.6,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43851965686451533,104,1.003099490653421,94,3.3423735262040353,0.5022466682892491,0,0.0
30,31,setosa,4.8,3.1,1.6,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43535474124321155,107,1.058025796969035,60,2.8729861326552273,0.5793008527871666,0,0.0
31,32,setosa,5.4,3.4,1.5,0.4,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.47131478645601793,60,0.9981269546056121,100,7.707247510866763,0.10291023625377113,0,0.0
32,33,setosa,5.2,4.1,1.5,0.1,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5514775986739928,14,1.4562989368706698,8,14.839761652725613,0.005045365641195311,0,0.0
33,34,setosa,5.5,4.2,1.4,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5550964787733147,13,1.6378831932486353,5,9.846048571745412,0.04310237804567927,0,0.0
34,35,setosa,4.9,3.1,1.5,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.41622599649371306,133,1.0194089303050204,84,1.4438667753882717,0.8365360480829159,0,0.0
35,36,setosa,5.0,3.2,1.2,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.45786316299567925,73,0.9826563920093419,117,5.5066135598076755,0.23914875363581745,0,0.0
36,37,setosa,5.5,3.5,1.3,0.2,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4788998220831385,52,1.0208100299743945,83,7.895598196731301,0.09547830336010306,0,0.0
