encoding,radius,bargmann_phase,bargmann_magnitude,gauge_phase_error,orientation_reversal_error
J0,0.1,0.0,0.99989751014959,7.347880794884119e-16,0.0
J_partial,0.1,-0.00013492860798397857,0.9999392402390955,2.3091337869596273e-15,0.0
J0,0.2,0.0,0.9995901035299655,3.3077843189710302e-15,0.0
J_partial,0.2,-0.0005394614792779695,0.9997568499135341,2.7950732006676304e-15,2.0816681711721685e-17
J0,0.3,0.0,0.9990779688716771,1.1392929115889915e-14,0.0
J_partial,0.3,-0.0012128400872899597,0.9994524980906281,6.487432119284264e-15,1.3877787807814457e-17
J0,0.4,0.0,0.9983614205112986,5.818929237859693e-15,0.0
J_partial,0.4,-0.0021538013255805732,0.9990256404916544,5.143021425402239e-15,4.163336342344337e-17
J0,0.5,0.0,0.9974408980704528,1.2864981197413093e-15,0.0
J_partial,0.5,-0.0033605791645174576,0.9984755302551106,8.764690362372818e-16,0.0
J0,0.6,0.0,0.996316966006917,5.145992478965237e-15,0.0
J_partial,0.6,-0.004830906970243465,0.9978012327069187,2.220446049250313e-15,0.0
J0,0.7,0.0,0.994990313038547,7.105427357601002e-15,0.0
J_partial,0.7,-0.006562020485570752,0.9970016438468111,1.577731001400906e-15,0.0
J0,0.7999999999999999,0.0,0.9934617514410095,1.2189568515972283e-14,0.0
J_partial,0.7999999999999999,-0.008550661472279066,0.9960755121868478,2.0660556598883772e-15,2.7755575615628914e-17
J0,0.8999999999999999,0.0,0.9917322162200581,6.37063927811259e-15,0.0
J_partial,0.8999999999999999,-0.010793082014098038,0.995021463512046,8.465450562766819e-16,2.7755575615628914e-17
J0,0.9999999999999999,0.0,0.9898027641597599,5.145992478965237e-15,0.0
J_partial,0.9999999999999999,-0.013285049479439509,0.993838028076662,6.088879400678593e-15,2.7755575615628914e-17
J0,1.0999999999999999,0.0,0.9876745727478792,1.2864981197413093e-15,0.0
J_partial,1.0999999999999999,-0.016021852142679593,0.9925236697018557,1.0404871408908889e-14,5.551115123125783e-17
J0,1.2,0.0,0.9853489389799696,6.125709918283119e-15,0.0
J_partial,1.2,-0.018998305462437137,0.9910768162050511,9.46465128492946e-15,0.0
